mean_eval,pop_best_eval,median_eval,best_eval,worst_eval,no_envs
-45.06909942626953,-173.6103057861328,-136.3950958251953,-181.37564086914062,219.8673553466797,36
-63.65315628051758,-162.78311157226562,-143.76068115234375,-181.37564086914062,219.8673553466797,36
-53.97340774536133,-167.48843383789062,-125.83844757080078,-181.37564086914062,219.8673553466797,36
-70.14619445800781,-161.20143127441406,-142.40550231933594,-181.37564086914062,219.8673553466797,36
-86.5478515625,-176.43392944335938,-152.13760375976562,-181.37564086914062,219.8673553466797,36
-55.71338653564453,-187.35952758789062,-101.93679809570312,-187.35952758789062,219.8673553466797,36
-51.5321159362793,-179.5782470703125,-163.6127166748047,-187.35952758789062,219.8673553466797,36
-90.67689514160156,-176.90875244140625,-159.57855224609375,-187.35952758789062,219.8673553466797,36
-127.2888412475586,-185.1918182373047,-157.626220703125,-187.35952758789062,219.8673553466797,36
-43.347267150878906,-164.26361083984375,-103.93146514892578,-187.35952758789062,219.8673553466797,36
-87.41712188720703,-174.31504821777344,-153.9304656982422,-187.35952758789062,219.8673553466797,36
-109.22943115234375,-193.9603271484375,-149.2969970703125,-193.9603271484375,219.8673553466797,36
-109.21708679199219,-168.05763244628906,-150.3518524169922,-193.9603271484375,219.8673553466797,36
-100.01432037353516,-193.61058044433594,-162.88040161132812,-193.9603271484375,219.8673553466797,36
-116.01409912109375,-173.16835021972656,-153.7176513671875,-193.9603271484375,219.8673553466797,36
-73.68244934082031,-196.3941650390625,-153.08847045898438,-196.3941650390625,219.8673553466797,36
-53.28102493286133,-185.81234741210938,-148.42994689941406,-196.3941650390625,219.8673553466797,36
-62.371002197265625,-195.17318725585938,-161.03330993652344,-196.3941650390625,219.8673553466797,36
-46.08894348144531,-190.09442138671875,-42.91496276855469,-196.3941650390625,219.8673553466797,36
-104.74415588378906,-296.99859619140625,-153.7022705078125,-296.99859619140625,219.8673553466797,36
-72.50749206542969,-194.6147003173828,-154.3303680419922,-296.99859619140625,219.8673553466797,36
-52.22309112548828,-188.5064239501953,-71.96892547607422,-296.99859619140625,219.8673553466797,36
-51.0666618347168,-199.7763671875,-115.65803527832031,-296.99859619140625,219.8673553466797,36
-86.70405578613281,-191.58334350585938,-154.1013946533203,-296.99859619140625,219.8673553466797,36
-18.579517364501953,-183.1671600341797,22.000450134277344,-296.99859619140625,219.8673553466797,36
-26.52524757385254,-180.23902893066406,20.775930404663086,-296.99859619140625,219.8673553466797,36
-62.216575622558594,-182.77394104003906,-157.22439575195312,-296.99859619140625,219.8673553466797,36
-87.58234405517578,-199.09042358398438,-139.33180236816406,-296.99859619140625,219.8673553466797,36
-50.97412872314453,-169.756103515625,-151.30564880371094,-296.99859619140625,219.8673553466797,36
-131.827392578125,-201.4000701904297,-163.8902587890625,-296.99859619140625,219.8673553466797,36
-95.505126953125,-175.85801696777344,-148.1807861328125,-296.99859619140625,219.8673553466797,36
-32.2265625,-181.5376434326172,-167.86083984375,-296.99859619140625,219.8673553466797,36
-17.435447692871094,-176.46302795410156,-149.77127075195312,-296.99859619140625,219.8673553466797,36
-72.69549560546875,-192.48971557617188,-158.39266967773438,-296.99859619140625,219.8673553466797,36
-70.44670104980469,-182.84719848632812,-157.51202392578125,-296.99859619140625,219.8673553466797,36
-132.50357055664062,-176.68968200683594,-167.3703155517578,-296.99859619140625,219.8673553466797,36
-68.01405334472656,-161.0770721435547,-137.9582977294922,-296.99859619140625,219.8673553466797,36
-113.85603332519531,-181.85098266601562,-164.5631866455078,-296.99859619140625,219.8673553466797,36
-144.43710327148438,-186.04794311523438,-155.45916748046875,-296.99859619140625,219.8673553466797,36
-121.7389907836914,-181.0001983642578,-151.76803588867188,-296.99859619140625,219.8673553466797,36
6.9377851486206055,-168.5655059814453,60.61914825439453,-296.99859619140625,219.8673553466797,36
-102.29685974121094,-172.9557647705078,-156.5061798095703,-296.99859619140625,219.8673553466797,36
-62.6129035949707,-163.86746215820312,-142.30685424804688,-296.99859619140625,219.8673553466797,36
-101.14484405517578,-189.84561157226562,-164.6129608154297,-296.99859619140625,219.8673553466797,36
-89.31123352050781,-172.20875549316406,-145.09629821777344,-296.99859619140625,219.8673553466797,36
-42.19670104980469,-177.0600128173828,-161.9065399169922,-296.99859619140625,308.8256530761719,36
-70.10103607177734,-208.10678100585938,-162.07870483398438,-296.99859619140625,308.8256530761719,36
-70.2799072265625,-197.85186767578125,-155.68006896972656,-296.99859619140625,308.8256530761719,36
