Mean,STD,Best,Worst
69.0,0.0,69.0,69.0
88.0,0.0,88.0,88.0
93.0,0.0,93.0,93.0
136.0,0.0,136.0,136.0
88.0,0.0,88.0,88.0
65.0,0.0,65.0,65.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
83.0,0.0,83.0,83.0
70.0,0.0,70.0,70.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
65.0,0.0,65.0,65.0
73.0,0.0,73.0,73.0
66.0,0.0,66.0,66.0
109.0,0.0,109.0,109.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
71.0,0.0,71.0,71.0
70.0,0.0,70.0,70.0
71.0,0.0,71.0,71.0
77.0,0.0,77.0,77.0
150.0,0.0,150.0,150.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
94.0,0.0,94.0,94.0
85.0,0.0,85.0,85.0
72.0,0.0,72.0,72.0
81.0,0.0,81.0,81.0
86.0,0.0,86.0,86.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
74.0,0.0,74.0,74.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
65.0,0.0,65.0,65.0
95.0,0.0,95.0,95.0
81.0,0.0,81.0,81.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
103.0,0.0,103.0,103.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
91.0,0.0,91.0,91.0
78.0,0.0,78.0,78.0
88.0,0.0,88.0,88.0
77.0,0.0,77.0,77.0
73.0,0.0,73.0,73.0
79.0,0.0,79.0,79.0
72.0,0.0,72.0,72.0
87.0,0.0,87.0,87.0
76.0,0.0,76.0,76.0
91.0,0.0,91.0,91.0
128.0,0.0,128.0,128.0
76.0,0.0,76.0,76.0
89.0,0.0,89.0,89.0
73.0,0.0,73.0,73.0
85.0,0.0,85.0,85.0
106.0,0.0,106.0,106.0
78.0,0.0,78.0,78.0
77.0,0.0,77.0,77.0
78.0,0.0,78.0,78.0
87.0,0.0,87.0,87.0
91.0,0.0,91.0,91.0
79.0,0.0,79.0,79.0
78.0,0.0,78.0,78.0
84.0,0.0,84.0,84.0
74.0,0.0,74.0,74.0
86.0,0.0,86.0,86.0
76.0,0.0,76.0,76.0
92.0,0.0,92.0,92.0
78.0,0.0,78.0,78.0
80.0,0.0,80.0,80.0
72.0,0.0,72.0,72.0
80.0,0.0,80.0,80.0
72.0,0.0,72.0,72.0
86.0,0.0,86.0,86.0
89.0,0.0,89.0,89.0
91.0,0.0,91.0,91.0
112.0,0.0,112.0,112.0
86.0,0.0,86.0,86.0
75.0,0.0,75.0,75.0
85.0,0.0,85.0,85.0
85.0,0.0,85.0,85.0
75.0,0.0,75.0,75.0
73.0,0.0,73.0,73.0
71.0,0.0,71.0,71.0
91.0,0.0,91.0,91.0
62.0,0.0,62.0,62.0
83.0,0.0,83.0,83.0
192.0,0.0,192.0,192.0
62.0,0.0,62.0,62.0
64.0,0.0,64.0,64.0
70.0,0.0,70.0,70.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
62.0,0.0,62.0,62.0
73.0,0.0,73.0,73.0
77.0,0.0,77.0,77.0
80.0,0.0,80.0,80.0
64.0,0.0,64.0,64.0
77.0,0.0,77.0,77.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
71.0,0.0,71.0,71.0
84.0,0.0,84.0,84.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
71.0,0.0,71.0,71.0
89.0,0.0,89.0,89.0
62.0,0.0,62.0,62.0
71.0,0.0,71.0,71.0
72.0,0.0,72.0,72.0
85.0,0.0,85.0,85.0
90.0,0.0,90.0,90.0
63.0,0.0,63.0,63.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
71.0,0.0,71.0,71.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
78.0,0.0,78.0,78.0
86.0,0.0,86.0,86.0
78.0,0.0,78.0,78.0
77.0,0.0,77.0,77.0
102.0,0.0,102.0,102.0
82.0,0.0,82.0,82.0
74.0,0.0,74.0,74.0
132.0,0.0,132.0,132.0
75.0,0.0,75.0,75.0
78.0,0.0,78.0,78.0
117.0,0.0,117.0,117.0
73.0,0.0,73.0,73.0
78.0,0.0,78.0,78.0
72.0,0.0,72.0,72.0
75.0,0.0,75.0,75.0
74.0,0.0,74.0,74.0
94.0,0.0,94.0,94.0
103.0,0.0,103.0,103.0
97.0,0.0,97.0,97.0
65.0,0.0,65.0,65.0
96.0,0.0,96.0,96.0
81.0,0.0,81.0,81.0
66.0,0.0,66.0,66.0
64.0,0.0,64.0,64.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
92.0,0.0,92.0,92.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
64.0,0.0,64.0,64.0
73.0,0.0,73.0,73.0
85.0,0.0,85.0,85.0
81.0,0.0,81.0,81.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
64.0,0.0,64.0,64.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
78.0,0.0,78.0,78.0
65.0,0.0,65.0,65.0
66.0,0.0,66.0,66.0
65.0,0.0,65.0,65.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
82.0,0.0,82.0,82.0
74.0,0.0,74.0,74.0
65.0,0.0,65.0,65.0
73.0,0.0,73.0,73.0
136.0,0.0,136.0,136.0
74.0,0.0,74.0,74.0
72.0,0.0,72.0,72.0
65.0,0.0,65.0,65.0
73.0,0.0,73.0,73.0
83.0,0.0,83.0,83.0
74.0,0.0,74.0,74.0
88.0,0.0,88.0,88.0
66.0,0.0,66.0,66.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
75.0,0.0,75.0,75.0
65.0,0.0,65.0,65.0
82.0,0.0,82.0,82.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
65.0,0.0,65.0,65.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
65.0,0.0,65.0,65.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
81.0,0.0,81.0,81.0
74.0,0.0,74.0,74.0
81.0,0.0,81.0,81.0
500.0,0.0,500.0,500.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
112.0,0.0,112.0,112.0
117.0,0.0,117.0,117.0
88.0,0.0,88.0,88.0
73.0,0.0,73.0,73.0
81.0,0.0,81.0,81.0
72.0,0.0,72.0,72.0
96.0,0.0,96.0,96.0
73.0,0.0,73.0,73.0
65.0,0.0,65.0,65.0
65.0,0.0,65.0,65.0
72.0,0.0,72.0,72.0
76.0,0.0,76.0,76.0
81.0,0.0,81.0,81.0
72.0,0.0,72.0,72.0
95.0,0.0,95.0,95.0
103.0,0.0,103.0,103.0
106.0,0.0,106.0,106.0
77.0,0.0,77.0,77.0
78.0,0.0,78.0,78.0
97.0,0.0,97.0,97.0
81.0,0.0,81.0,81.0
77.0,0.0,77.0,77.0
66.0,0.0,66.0,66.0
82.0,0.0,82.0,82.0
87.0,0.0,87.0,87.0
72.0,0.0,72.0,72.0
65.0,0.0,65.0,65.0
73.0,0.0,73.0,73.0
91.0,0.0,91.0,91.0
103.0,0.0,103.0,103.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
103.0,0.0,103.0,103.0
90.0,0.0,90.0,90.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
65.0,0.0,65.0,65.0
73.0,0.0,73.0,73.0
79.0,0.0,79.0,79.0
65.0,0.0,65.0,65.0
65.0,0.0,65.0,65.0
112.0,0.0,112.0,112.0
79.0,0.0,79.0,79.0
93.0,0.0,93.0,93.0
73.0,0.0,73.0,73.0
65.0,0.0,65.0,65.0
92.0,0.0,92.0,92.0
99.0,0.0,99.0,99.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
139.0,0.0,139.0,139.0
73.0,0.0,73.0,73.0
87.0,0.0,87.0,87.0
73.0,0.0,73.0,73.0
81.0,0.0,81.0,81.0
77.0,0.0,77.0,77.0
120.0,0.0,120.0,120.0
97.0,0.0,97.0,97.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
108.0,0.0,108.0,108.0
71.0,0.0,71.0,71.0
107.0,0.0,107.0,107.0
92.0,0.0,92.0,92.0
84.0,0.0,84.0,84.0
89.0,0.0,89.0,89.0
186.0,0.0,186.0,186.0
76.0,0.0,76.0,76.0
82.0,0.0,82.0,82.0
82.0,0.0,82.0,82.0
77.0,0.0,77.0,77.0
82.0,0.0,82.0,82.0
97.0,0.0,97.0,97.0
98.0,0.0,98.0,98.0
76.0,0.0,76.0,76.0
94.0,0.0,94.0,94.0
84.0,0.0,84.0,84.0
123.0,0.0,123.0,123.0
108.0,0.0,108.0,108.0
108.0,0.0,108.0,108.0
84.0,0.0,84.0,84.0
95.0,0.0,95.0,95.0
98.0,0.0,98.0,98.0
91.0,0.0,91.0,91.0
283.0,0.0,283.0,283.0
84.0,0.0,84.0,84.0
94.0,0.0,94.0,94.0
98.0,0.0,98.0,98.0
81.0,0.0,81.0,81.0
108.0,0.0,108.0,108.0
84.0,0.0,84.0,84.0
