mean_eval,median_eval,pop_best_eval,best_eval,worst_eval,no_envs
-172.29043579101562,-221.50010681152344,-281.7984619140625,-281.7984619140625,199.56741333007812,36
-14.460970878601074,25.09392547607422,-258.5573425292969,-281.7984619140625,219.66400146484375,36
-89.73007202148438,-222.3573455810547,-289.6510925292969,-289.6510925292969,219.66400146484375,36
-187.66371154785156,-226.30026245117188,-255.0041046142578,-289.6510925292969,219.66400146484375,36
-189.40029907226562,-227.15451049804688,-462.456298828125,-462.456298828125,219.66400146484375,36
-95.60081481933594,-195.6424560546875,-297.6109924316406,-462.456298828125,223.99583435058594,36
-131.8130340576172,-238.70748901367188,-282.59368896484375,-462.456298828125,223.99583435058594,36
-58.1629753112793,-172.69578552246094,-239.47508239746094,-462.456298828125,223.99583435058594,36
-139.20956420898438,-221.1278076171875,-306.14013671875,-462.456298828125,278.3583068847656,36
-99.56806182861328,-211.93017578125,-268.77294921875,-462.456298828125,278.3583068847656,36
-138.40655517578125,-229.43203735351562,-288.8103332519531,-462.456298828125,278.3583068847656,36
-40.88092803955078,15.080168724060059,-287.7532958984375,-462.456298828125,278.3583068847656,36
-133.11154174804688,-221.15518188476562,-287.9905090332031,-462.456298828125,278.3583068847656,36
-122.34455871582031,-203.82907104492188,-300.4408874511719,-462.456298828125,278.3583068847656,36
-162.6574249267578,-239.73419189453125,-335.5115661621094,-462.456298828125,278.3583068847656,36
-78.8722915649414,-40.537635803222656,-347.029541015625,-462.456298828125,278.3583068847656,36
-225.7536163330078,-250.19546508789062,-321.1466369628906,-462.456298828125,278.3583068847656,36
-183.96420288085938,-254.9141387939453,-354.2999267578125,-462.456298828125,278.3583068847656,36
-171.34820556640625,-230.22035217285156,-318.5588073730469,-462.456298828125,278.3583068847656,36
-108.56114196777344,-225.598876953125,-279.8165283203125,-462.456298828125,278.3583068847656,36
-170.1885223388672,-269.3262023925781,-455.4888916015625,-462.456298828125,278.3583068847656,36
-187.07192993164062,-243.86917114257812,-339.5145263671875,-462.456298828125,278.3583068847656,36
-203.00308227539062,-259.8789367675781,-342.5954284667969,-462.456298828125,278.3583068847656,36
-223.9806671142578,-261.6131591796875,-343.50518798828125,-462.456298828125,278.3583068847656,36
-136.77880859375,-252.18960571289062,-370.8053894042969,-462.456298828125,278.3583068847656,36
-280.6107482910156,-310.9943542480469,-365.9855041503906,-462.456298828125,278.3583068847656,36
-196.35922241210938,-291.8352966308594,-394.1488952636719,-462.456298828125,278.3583068847656,36
-225.69677734375,-317.1872863769531,-386.16510009765625,-462.456298828125,278.3583068847656,36
-76.9544906616211,8.634180068969727,-401.37493896484375,-462.456298828125,278.3583068847656,36
-177.3518524169922,-332.56463623046875,-405.7975769042969,-462.456298828125,278.3583068847656,36
-245.72433471679688,-282.7237243652344,-415.9241638183594,-462.456298828125,278.3583068847656,36
-59.443870544433594,20.804000854492188,-367.2861022949219,-462.456298828125,278.3583068847656,36
-177.52011108398438,-294.22601318359375,-385.1102294921875,-462.456298828125,278.3583068847656,36
-221.3197021484375,-339.4679260253906,-426.0460205078125,-462.456298828125,278.3583068847656,36
-242.8452911376953,-313.0846252441406,-428.50152587890625,-462.456298828125,278.3583068847656,36
-179.87301635742188,-270.8988952636719,-479.0248718261719,-479.0248718261719,278.3583068847656,36
-187.89366149902344,-270.4667053222656,-426.7524108886719,-479.0248718261719,278.3583068847656,36
-179.80728149414062,-185.8288116455078,-421.7987365722656,-479.0248718261719,278.3583068847656,36
-198.04800415039062,-301.6098937988281,-413.57159423828125,-479.0248718261719,278.3583068847656,36
-214.378173828125,-312.4459533691406,-430.0318908691406,-479.0248718261719,278.3583068847656,36
-161.60226440429688,-295.7093811035156,-422.6582946777344,-479.0248718261719,278.3583068847656,36
-176.79611206054688,-328.7294616699219,-436.4330139160156,-479.0248718261719,278.3583068847656,36
-172.01315307617188,-212.42364501953125,-410.9810485839844,-479.0248718261719,278.3583068847656,36
-77.24523162841797,-126.11988067626953,-381.3608703613281,-479.0248718261719,278.3583068847656,36
-240.8853302001953,-295.49542236328125,-382.39044189453125,-479.0248718261719,278.3583068847656,36
-183.53152465820312,-248.375732421875,-369.0790100097656,-479.0248718261719,278.3583068847656,36
-155.3717041015625,-270.76007080078125,-375.3811340332031,-479.0248718261719,278.3583068847656,36
-280.70684814453125,-316.7053527832031,-417.7527770996094,-479.0248718261719,278.3583068847656,36
-295.8743896484375,-316.11090087890625,-441.68133544921875,-479.0248718261719,278.3583068847656,36
-200.50933837890625,-279.02764892578125,-437.74169921875,-479.0248718261719,278.3583068847656,36
-179.70639038085938,-281.2196350097656,-393.3967590332031,-479.0248718261719,278.3583068847656,36
-200.60134887695312,-273.37158203125,-417.37652587890625,-479.0248718261719,278.3583068847656,36
-166.6364288330078,-240.71446228027344,-397.41497802734375,-479.0248718261719,278.3583068847656,36
-190.93099975585938,-259.8885498046875,-413.49951171875,-479.0248718261719,278.3583068847656,36
-188.7816162109375,-275.3765869140625,-394.60186767578125,-479.0248718261719,278.3583068847656,36
-100.85880279541016,-97.76704406738281,-370.0138244628906,-479.0248718261719,278.3583068847656,36
-209.618408203125,-312.68798828125,-393.15087890625,-479.0248718261719,278.3583068847656,36
-172.1757049560547,-279.1528625488281,-403.2405090332031,-479.0248718261719,278.3583068847656,36
-248.2718505859375,-349.01422119140625,-534.45556640625,-534.45556640625,278.3583068847656,36
-236.00686645507812,-331.50531005859375,-439.6101989746094,-534.45556640625,278.3583068847656,36
-200.82135009765625,-243.1110382080078,-421.8170471191406,-534.45556640625,278.3583068847656,36
-162.3585968017578,-191.61148071289062,-451.0238342285156,-534.45556640625,278.3583068847656,36
-281.8762512207031,-336.15704345703125,-380.3560791015625,-534.45556640625,278.3583068847656,36
-231.4533233642578,-253.82232666015625,-391.0369873046875,-534.45556640625,278.3583068847656,36
-259.7757873535156,-329.50506591796875,-425.8619689941406,-534.45556640625,278.3583068847656,36
-307.1331481933594,-329.515625,-468.46148681640625,-534.45556640625,278.3583068847656,36
-286.5018005371094,-344.5189208984375,-434.681396484375,-534.45556640625,278.3583068847656,36
-90.83927154541016,-133.2378387451172,-392.7645263671875,-534.45556640625,278.3583068847656,36
-149.48910522460938,-226.4649658203125,-438.96173095703125,-534.45556640625,278.3583068847656,36
-269.49554443359375,-329.7325134277344,-424.7019348144531,-534.45556640625,278.3583068847656,36
-263.08184814453125,-319.8105773925781,-448.5873107910156,-534.45556640625,278.3583068847656,36
-265.56463623046875,-342.9105224609375,-563.5192260742188,-563.5192260742188,278.3583068847656,36
-254.3271942138672,-255.77357482910156,-401.6755065917969,-563.5192260742188,278.3583068847656,36
-256.8885498046875,-298.8003234863281,-432.80120849609375,-563.5192260742188,278.3583068847656,36
